date,industry_code,pe_ttm,pb,dividend_yield
2020-08-07,801730,43.56,3.33,0.49
2020-08-07,801760,50.79,2.93,0.66
2020-08-10,801160,22.59,1.46,1.81
2020-08-10,801150,61.16,5.36,0.51
2020-08-10,801120,46.06,8.79,1.01
2020-08-10,801170,22.94,1.47,1.53
2020-08-10,801080,59.97,4.59,0.46
2020-08-10,801050,47.25,2.64,0.54
2020-08-10,801040,13.02,0.92,2.43
2020-08-10,801030,30.35,2.41,1.19
2020-08-10,801010,23.49,4.45,1.37
2020-08-10,801110,22.38,3.52,1.81
2020-08-10,801180,9.97,1.33,2.95
2020-08-10,801890,33.53,2.55,0.68
2020-08-10,801880,30.54,1.88,1.23
2020-08-10,801790,19.76,2.01,1.33
2020-08-10,801780,6.19,0.7,4.43
2020-08-10,801770,47.01,3.06,0.36
2020-08-10,801760,51.46,2.97,0.65
2020-08-10,801730,43.9,3.36,0.44
2020-08-10,801710,17.93,2.57,1.85
2020-08-10,801750,83.62,5.17,0.28
2020-08-11,801160,22.34,1.45,1.84
2020-08-11,801150,60.17,5.27,0.51
2020-08-11,801120,46.29,8.84,1.01
2020-08-11,801050,45.88,2.56,0.56
2020-08-11,801080,59.09,4.52,0.47
2020-08-11,801040,12.8,0.9,2.47
2020-08-11,801030,29.78,2.36,1.21
2020-08-11,801010,23.56,4.47,1.37
2020-08-11,801170,22.81,1.46,1.54
2020-08-11,801110,22.09,3.48,1.83
2020-08-11,801180,9.88,1.31,2.98
2020-08-11,801880,30.25,1.87,1.24
2020-08-11,801790,19.28,1.97,1.37
2020-08-11,801780,6.21,0.7,4.42
2020-08-11,801770,46.17,3.0,0.37
2020-08-11,801760,50.47,2.91,0.66
2020-08-11,801890,33.04,2.51,0.7
2020-08-11,801730,43.08,3.29,0.45
2020-08-11,801710,17.53,2.52,1.89
2020-08-11,801750,81.05,5.01,0.3
2020-08-12,801150,58.44,5.12,0.54
2020-08-12,801120,45.52,8.71,1.03
2020-08-12,801110,21.8,3.43,1.85
2020-08-12,801040,12.75,0.9,2.48
2020-08-12,801050,44.75,2.5,0.57
2020-08-12,801030,29.4,2.33,1.23
2020-08-12,801010,23.38,4.43,1.38
2020-08-12,801160,22.39,1.45,1.85
2020-08-12,801080,59.66,4.56,0.46
2020-08-12,801170,23.04,1.48,1.5
2020-08-12,801180,9.97,1.33,3.0
2020-08-12,801890,32.66,2.48,0.7
2020-08-12,801880,30.01,1.85,1.25
2020-08-12,801790,19.25,1.96,1.39
2020-08-12,801780,6.24,0.71,4.4
2020-08-12,801770,46.08,3.0,0.44
2020-08-12,801760,50.25,2.9,0.68
2020-08-12,801750,79.86,4.93,0.3
2020-08-12,801730,42.33,3.23,0.48
2020-08-12,801710,17.22,2.47,1.93
2020-08-13,801160,22.61,1.47,1.83
2020-08-13,801150,57.68,5.05,0.55
2020-08-13,801120,45.62,8.73,1.02
2020-08-13,801050,44.53,2.48,0.57
2020-08-13,801080,59.38,4.55,0.46
2020-08-13,801040,12.94,0.91,2.44
2020-08-13,801030,29.61,2.34,1.22
2020-08-13,801010,23.91,4.53,1.27
2020-08-13,801170,23.07,1.48,1.5
2020-08-13,801110,21.87,3.44,1.85
2020-08-13,801890,32.79,2.49,0.7
2020-08-13,801880,30.15,1.86,1.25
2020-08-13,801790,19.32,1.98,1.39
2020-08-13,801780,6.2,0.7,4.43
2020-08-13,801180,9.97,1.33,3.0
2020-08-13,801760,50.5,2.91,0.67
2020-08-13,801770,46.28,3.0,0.44
2020-08-13,801730,42.86,3.28,0.48
2020-08-13,801710,17.3,2.49,1.92
2020-08-13,801750,79.75,4.92,0.3
2020-08-14,801160,22.73,1.47,1.92
2020-08-14,801150,58.03,5.08,0.54
2020-08-14,801120,46.61,8.92,1.0
2020-08-14,801170,23.25,1.49,1.51
2020-08-14,801080,60.38,4.62,0.46
2020-08-14,801050,44.78,2.5,0.57
2020-08-14,801040,12.95,0.91,2.44
2020-08-14,801030,29.79,2.36,1.21
2020-08-14,801010,23.92,4.55,1.26
2020-08-14,801110,22.32,3.52,1.81
2020-08-14,801180,10.04,1.34,3.62
2020-08-14,801890,32.97,2.5,0.81
2020-08-14,801880,30.34,1.87,1.24
2020-08-14,801790,19.71,2.02,1.37
2020-08-14,801780,6.3,0.71,4.36
2020-08-14,801770,46.76,3.03,0.44
2020-08-14,801760,51.21,2.95,0.67
2020-08-14,801730,43.33,3.31,0.49
2020-08-14,801710,17.46,2.51,1.9
2020-08-14,801750,81.41,5.02,0.3
2020-08-17,801150,58.85,5.15,0.53
2020-08-17,801120,47.57,9.12,0.98
2020-08-17,801110,22.6,3.56,1.79
2020-08-17,801040,13.14,0.92,2.4
2020-08-17,801050,46.21,2.58,0.55
2020-08-17,801030,30.43,2.4,1.19
2020-08-17,801010,24.11,4.58,1.25
2020-08-17,801160,23.01,1.49,1.86
2020-08-17,801080,61.73,4.72,0.44
2020-08-17,801170,23.46,1.51,1.48
2020-08-17,801180,10.23,1.36,3.03
2020-08-17,801890,33.66,2.55,0.7
2020-08-17,801880,31.08,1.92,1.21
2020-08-17,801790,20.63,2.13,1.26
2020-08-17,801780,6.47,0.73,4.24
2020-08-17,801760,52.23,3.01,0.65
2020-08-17,801750,83.03,5.12,0.29
2020-08-17,801770,47.76,3.1,0.43
2020-08-17,801730,43.7,3.34,0.48
2020-08-17,801710,17.9,2.57,1.85
2020-08-18,801160,23.04,1.49,1.86
2020-08-18,801150,59.54,5.21,0.52
2020-08-18,801120,48.19,9.24,0.97
2020-08-18,801170,23.64,1.51,1.46
2020-08-18,801080,61.24,4.68,0.45
2020-08-18,801050,46.86,2.61,0.55
2020-08-18,801040,13.3,0.94,2.38
2020-08-18,801030,30.74,2.42,1.17
2020-08-18,801010,24.44,4.63,1.24
2020-08-18,801110,22.51,3.54,1.8
2020-08-18,801180,10.18,1.34,3.04
2020-08-18,801890,33.98,2.56,0.71
2020-08-18,801880,31.3,1.93,1.27
2020-08-18,801790,20.49,2.11,1.27
2020-08-18,801780,6.41,0.72,4.28
2020-08-18,801760,52.57,3.03,0.65
2020-08-18,801770,47.7,3.1,0.43
2020-08-18,801730,43.78,3.36,0.48
2020-08-18,801710,18.13,2.6,1.83
2020-08-18,801750,83.14,5.13,0.29
2020-08-19,801160,23.38,1.51,1.83
2020-08-19,801150,57.79,5.05,0.53
2020-08-19,801120,48.09,9.22,0.97
2020-08-19,801170,23.63,1.52,1.49
2020-08-19,801080,59.19,4.5,0.46
2020-08-19,801050,45.53,2.54,0.57
2020-08-19,801040,13.21,0.93,2.39
2020-08-19,801030,30.41,2.4,1.19
2020-08-19,801010,24.33,4.59,1.24
2020-08-19,801110,22.08,3.47,1.83
2020-08-19,801180,10.02,1.32,3.09
2020-08-19,801890,33.58,2.53,0.71
2020-08-19,801880,30.64,1.89,1.29
2020-08-19,801790,20.05,2.07,1.3
2020-08-19,801780,6.36,0.72,4.32
2020-08-19,801770,46.56,3.02,0.44
2020-08-19,801760,51.15,2.95,0.66
2020-08-19,801730,42.64,3.28,0.49
2020-08-19,801710,18.07,2.59,1.83
2020-08-19,801750,80.74,4.98,0.3
2020-08-20,801160,23.17,1.49,1.85
2020-08-20,801120,47.12,9.05,0.98
2020-08-20,801110,21.7,3.42,1.87
2020-08-20,801040,13.15,0.92,2.4
2020-08-20,801050,45.19,2.52,0.57
2020-08-20,801170,23.29,1.5,1.62
2020-08-20,801030,30.04,2.37,1.2
2020-08-20,801010,23.87,4.56,1.27
2020-08-20,801080,59.14,4.49,0.46
2020-08-20,801180,9.95,1.31,3.12
2020-08-20,801150,57.44,5.02,0.54
2020-08-20,801890,33.1,2.49,0.72
2020-08-20,801790,19.77,2.04,1.35
2020-08-20,801780,6.26,0.71,4.38
2020-08-20,801770,46.32,3.0,0.44
2020-08-20,801760,51.05,2.94,0.67
2020-08-20,801880,30.04,1.85,1.32
2020-08-20,801730,41.74,3.2,0.5
2020-08-20,801710,17.78,2.46,1.86
2020-08-20,801750,80.37,4.94,0.3
2020-08-21,801160,23.26,1.5,1.84
2020-08-21,801120,47.98,9.21,0.96
2020-08-21,801110,21.86,3.44,1.85
2020-08-21,801040,13.15,0.92,2.4
2020-08-21,801050,45.16,2.52,0.57
2020-08-21,801030,30.19,2.38,1.19
2020-08-21,801010,24.05,4.59,1.26
2020-08-21,801170,23.49,1.51,1.63
2020-08-21,801080,59.58,4.52,0.46
2020-08-21,801180,9.97,1.32,3.11
2020-08-21,801150,57.91,5.05,0.53
2020-08-21,801880,30.27,1.86,1.32
2020-08-21,801790,20.0,2.07,1.48
2020-08-21,801780,6.28,0.71,4.37
2020-08-21,801770,46.47,3.01,0.44
2020-08-21,801760,52.47,3.02,0.65
2020-08-21,801750,80.61,4.95,0.3
2020-08-21,801730,42.28,3.25,0.5
2020-08-21,801890,33.24,2.5,0.71
2020-08-21,801710,17.88,2.48,1.85
2020-08-24,801170,23.49,1.51,1.56
2020-08-24,801160,23.24,1.49,1.81
2020-08-24,801150,58.14,5.07,0.53
2020-08-24,801080,61.33,4.64,0.45
2020-08-24,801110,22.03,3.47,1.84
2020-08-24,801050,45.78,2.55,0.56
2020-08-24,801040,13.08,0.92,2.41
2020-08-24,801030,30.49,2.4,1.18
2020-08-24,801180,9.94,1.31,3.12
2020-08-24,801120,48.67,9.35,0.94
2020-08-24,801010,24.62,4.71,1.23
2020-08-24,801890,33.81,2.54,0.71
2020-08-24,801880,30.48,1.88,1.32
2020-08-24,801790,19.83,2.07,1.49
2020-08-24,801770,46.88,3.03,0.44
2020-08-24,801780,6.24,0.7,4.39
2020-08-24,801750,81.94,5.02,0.3
2020-08-24,801730,43.56,3.34,0.5
2020-08-24,801710,18.07,2.5,1.83
2020-08-24,801760,53.35,3.07,0.62
2020-08-25,801120,49.66,9.54,0.93
2020-08-25,801160,23.07,1.48,1.82
2020-08-25,801110,22.06,3.47,1.83
2020-08-25,801170,23.36,1.5,1.56
2020-08-25,801050,44.96,2.49,0.57
2020-08-25,801040,12.91,0.91,2.44
2020-08-25,801030,30.45,2.4,1.18
2020-08-25,801010,24.24,4.63,1.25
2020-08-25,801080,60.98,4.6,0.45
2020-08-25,801180,9.91,1.31,3.15
2020-08-25,801150,58.24,5.08,0.53
2020-08-25,801880,30.19,1.87,1.33
2020-08-25,801790,19.8,2.06,1.49
2020-08-25,801780,6.25,0.7,4.39
2020-08-25,801770,46.85,3.02,0.44
2020-08-25,801760,45.94,3.06,0.63
2020-08-25,801750,82.53,5.05,0.3
2020-08-25,801730,43.56,3.34,0.5
2020-08-25,801890,34.08,2.55,0.7
2020-08-25,801710,17.89,2.47,1.85
2020-08-26,801160,23.14,1.48,1.8
2020-08-26,801120,49.62,9.52,0.93
2020-08-26,801050,43.8,2.43,0.59
2020-08-26,801080,59.14,4.45,0.45
2020-08-26,801170,23.42,1.5,1.56
2020-08-26,801040,12.74,0.9,2.48
2020-08-26,801030,29.8,2.34,1.2
2020-08-26,801010,23.71,4.53,1.28
2020-08-26,801110,21.7,3.41,1.87
2020-08-26,801180,9.79,1.29,3.19
2020-08-26,801150,57.85,5.09,0.53
2020-08-26,801890,33.45,2.5,0.72
2020-08-26,801880,29.7,1.84,1.35
2020-08-26,801790,19.33,2.01,1.52
2020-08-26,801780,6.2,0.7,4.42
2020-08-26,801770,45.83,2.96,0.45
2020-08-26,801760,45.39,3.02,0.63
2020-08-26,801730,42.36,3.24,0.5
2020-08-26,801710,17.47,2.41,1.89
2020-08-26,801750,80.39,4.91,0.31
2020-08-27,801170,23.41,1.5,1.56
2020-08-27,801160,23.09,1.48,1.8
2020-08-27,801150,58.47,5.14,0.52
2020-08-27,801080,59.72,4.48,0.44
2020-08-27,801110,21.56,3.39,1.88
2020-08-27,801050,44.23,2.44,0.58
2020-08-27,801040,12.8,0.9,2.46
2020-08-27,801030,30.01,2.37,1.2
2020-08-27,801180,9.73,1.28,3.2
2020-08-27,801120,50.17,9.63,0.92
2020-08-27,801010,23.87,4.56,1.27
2020-08-27,801890,33.99,2.53,0.71
2020-08-27,801880,30.37,1.88,1.32
2020-08-27,801790,19.4,2.02,1.5
2020-08-27,801780,6.19,0.7,4.43
2020-08-27,801770,46.47,2.99,0.44
2020-08-27,801750,81.52,4.97,0.31
2020-08-27,801730,43.68,3.33,0.48
2020-08-27,801710,17.5,2.42,1.89
2020-08-27,801760,45.66,3.04,0.63
2020-08-28,801160,23.01,1.47,1.84
2020-08-28,801150,60.16,5.24,0.51
2020-08-28,801120,51.76,9.9,0.89
2020-08-28,801050,44.91,2.46,0.58
2020-08-28,801080,60.54,4.53,0.44
2020-08-28,801040,13.05,0.9,2.42
2020-08-28,801030,30.45,2.4,1.18
2020-08-28,801170,23.32,1.53,1.54
2020-08-28,801110,22.19,3.48,1.82
2020-08-28,801010,24.47,4.64,1.24
2020-08-28,801180,9.87,1.3,3.16
2020-08-28,801890,34.31,2.53,0.7
2020-08-28,801880,30.49,1.89,1.32
2020-08-28,801790,19.87,2.06,1.46
2020-08-28,801770,46.59,2.99,0.43
2020-08-28,801760,46.3,3.07,0.62
2020-08-28,801780,6.34,0.71,4.33
2020-08-28,801730,44.26,3.36,0.48
2020-08-28,801710,17.82,2.46,1.86
2020-08-28,801750,82.6,5.0,0.3
2020-08-31,801160,23.18,1.49,1.82
2020-08-31,801150,59.93,5.21,0.51
2020-08-31,801120,52.26,10.03,0.88
2020-08-31,801010,24.36,4.6,1.24
2020-08-31,801080,60.48,4.51,0.43
2020-08-31,801050,45.35,2.47,0.57
2020-08-31,801170,23.13,1.53,1.55
2020-08-31,801040,12.93,0.91,2.44
2020-08-31,801030,30.49,2.41,1.18
2020-08-31,801110,22.06,3.47,1.83
2020-08-31,801180,9.79,1.29,3.19
2020-08-31,801780,6.29,0.69,4.36
2020-08-31,801880,30.5,1.88,1.32
2020-08-31,801790,19.66,2.03,1.48
2020-08-31,801770,46.58,2.97,0.43
2020-08-31,801760,45.74,3.05,0.63
2020-08-31,801890,34.38,2.53,0.7
2020-08-31,801730,44.09,3.34,0.48
2020-08-31,801710,17.78,2.45,1.86
2020-08-31,801750,82.48,4.99,0.3
2020-09-01,801160,21.07,1.5,1.81
2020-09-01,801120,48.13,9.98,0.89
2020-09-01,801110,23.99,3.51,1.81
2020-09-01,801040,14.71,0.91,2.41
2020-09-01,801050,47.02,2.52,0.56
2020-09-01,801170,24.31,1.53,1.55
2020-09-01,801030,31.55,2.43,1.17
2020-09-01,801010,21.28,4.63,1.23
2020-09-01,801080,56.47,4.55,0.43
2020-09-01,801180,9.73,1.28,3.19
2020-09-01,801150,53.58,5.21,0.51
2020-09-01,801890,30.51,2.55,0.69
2020-09-01,801790,19.38,2.04,1.47
2020-09-01,801780,6.65,0.69,4.37
2020-09-01,801770,44.14,2.98,0.43
2020-09-01,801760,44.37,3.04,0.63
2020-09-01,801880,28.42,1.94,1.28
2020-09-01,801730,41.02,3.42,0.47
2020-09-01,801710,16.47,2.43,1.87
2020-09-01,801750,81.55,5.01,0.3
2020-09-02,801160,21.17,1.51,1.8
2020-09-02,801120,47.92,9.94,0.89
2020-09-02,801110,23.88,3.49,1.82
2020-09-02,801040,14.72,0.91,2.41
2020-09-02,801050,46.19,2.47,0.57
2020-09-02,801030,31.69,2.44,1.17
2020-09-02,801010,21.36,4.65,1.23
2020-09-02,801170,24.45,1.54,1.55
2020-09-02,801080,56.88,4.59,0.42
2020-09-02,801180,9.74,1.28,3.19
2020-09-02,801150,53.73,5.23,0.51
2020-09-02,801880,28.51,1.95,1.28
